timestamp_utc,from_zone,to_zone,atc_mw,ntc_mw,scheduled_flow_mw,congestion_rent_eur_mwh,redispatch_volume_mw,curtailment_mw
2026-01-05T00:00:00Z,DE-LU,AT,1838.0,2571.0,-38.0,0,0,0
2026-01-05T00:00:00Z,DE-LU,FR,975.0,1949.0,68.0,0,0,0
2026-01-05T00:00:00Z,DE-LU,NL,1850.0,3473.0,-1072.0,0,0,0
2026-01-05T00:00:00Z,DE-LU,PL,1002.0,1517.0,-682.0,0,0,0
2026-01-05T00:00:00Z,DE-LU,CZ,999.0,1574.0,-822.0,0,0,0
2026-01-05T00:00:00Z,DE-LU,DK1,1228.0,3469.0,515.0,7.75,0,0
2026-01-05T01:00:00Z,DE-LU,AT,920.0,1578.0,1041.0,0,0,0
2026-01-05T01:00:00Z,DE-LU,FR,1446.0,2084.0,-116.0,0,0,0
2026-01-05T01:00:00Z,DE-LU,NL,2874.0,3896.0,1014.0,0,0,0
2026-01-05T01:00:00Z,DE-LU,PL,2087.0,4039.0,151.0,0,0,0
2026-01-05T01:00:00Z,DE-LU,CZ,1559.0,4273.0,2069.0,0,0,0
2026-01-05T01:00:00Z,DE-LU,DK1,3428.0,3635.0,-1068.0,0,0,0
2026-01-05T02:00:00Z,DE-LU,AT,2756.0,3203.0,1938.0,0,0,0
2026-01-05T02:00:00Z,DE-LU,FR,1998.0,3264.0,145.0,0,0,0
2026-01-05T02:00:00Z,DE-LU,NL,459.0,1396.0,55.0,1.94,2.0,0
2026-01-05T02:00:00Z,DE-LU,PL,566.0,890.0,-99.0,0,0,0
2026-01-05T02:00:00Z,DE-LU,CZ,3505.0,4132.0,-1429.0,0,0,0
2026-01-05T02:00:00Z,DE-LU,DK1,2115.0,2308.0,1047.0,0,0,0
2026-01-05T03:00:00Z,DE-LU,AT,1250.0,2828.0,1423.0,0,0,0
2026-01-05T03:00:00Z,DE-LU,FR,499.0,1312.0,899.0,8.7,115.0,0
2026-01-05T03:00:00Z,DE-LU,NL,637.0,1021.0,-625.0,0,0,0
2026-01-05T03:00:00Z,DE-LU,PL,1012.0,1822.0,-716.0,0,0,0
2026-01-05T03:00:00Z,DE-LU,CZ,3638.0,4202.0,-390.0,0,0,0
2026-01-05T03:00:00Z,DE-LU,DK1,1933.0,2123.0,-319.0,0,0,0
2026-01-05T04:00:00Z,DE-LU,AT,875.0,1250.0,5.0,0,0,0
2026-01-05T04:00:00Z,DE-LU,FR,1626.0,1847.0,-1246.0,0,0,0
2026-01-05T04:00:00Z,DE-LU,NL,1122.0,2344.0,-247.0,0,0,0
2026-01-05T04:00:00Z,DE-LU,PL,1036.0,1196.0,-621.0,0,0,0
2026-01-05T04:00:00Z,DE-LU,CZ,519.0,1130.0,-649.0,0,0,0
2026-01-05T04:00:00Z,DE-LU,DK1,3543.0,3893.0,-2906.0,0,0,0
2026-01-05T05:00:00Z,DE-LU,AT,2380.0,2682.0,-1293.0,0,0,0
2026-01-05T05:00:00Z,DE-LU,FR,2517.0,4197.0,1944.0,0,0,0
2026-01-05T05:00:00Z,DE-LU,NL,858.0,1552.0,-65.0,0,0,0
2026-01-05T05:00:00Z,DE-LU,PL,1050.0,1795.0,-141.0,0,0,0
2026-01-05T05:00:00Z,DE-LU,CZ,2079.0,3736.0,1079.0,0,0,0
2026-01-05T05:00:00Z,DE-LU,DK1,1101.0,2289.0,-80.0,0,0,0
2026-01-05T06:00:00Z,DE-LU,AT,3068.0,4486.0,-3485.0,0,0,0
2026-01-05T06:00:00Z,DE-LU,FR,1279.0,2045.0,464.0,0,0,0
2026-01-05T06:00:00Z,DE-LU,NL,1478.0,1957.0,582.0,0,0,0
2026-01-05T06:00:00Z,DE-LU,PL,1041.0,2412.0,-1718.0,0,0,0
2026-01-05T06:00:00Z,DE-LU,CZ,575.0,886.0,524.0,0,0,0
2026-01-05T06:00:00Z,DE-LU,DK1,730.0,1357.0,965.0,0,0,0
2026-01-05T07:00:00Z,DE-LU,AT,921.0,1673.0,-128.0,0,0,0
2026-01-05T07:00:00Z,DE-LU,FR,3190.0,3449.0,-2328.0,0,0,0
2026-01-05T07:00:00Z,DE-LU,NL,1244.0,2241.0,1018.0,0,0,0
2026-01-05T07:00:00Z,DE-LU,PL,1606.0,2486.0,942.0,0,0,0
2026-01-05T07:00:00Z,DE-LU,CZ,1723.0,2537.0,-440.0,0,0,0
2026-01-05T07:00:00Z,DE-LU,DK1,314.0,967.0,767.0,0,0,0
2026-01-05T08:00:00Z,DE-LU,AT,1378.0,2882.0,1250.0,0,0,0
2026-01-05T08:00:00Z,DE-LU,FR,2075.0,2986.0,768.0,0,0,0
2026-01-05T08:00:00Z,DE-LU,NL,954.0,1640.0,-867.0,0,0,0
2026-01-05T08:00:00Z,DE-LU,PL,1465.0,3814.0,-2893.0,1.58,33.0,0
2026-01-05T08:00:00Z,DE-LU,CZ,1737.0,2363.0,501.0,0,0,0
2026-01-05T08:00:00Z,DE-LU,DK1,795.0,856.0,623.0,0,0,45.0
2026-01-05T09:00:00Z,DE-LU,AT,3207.0,4261.0,-1404.0,0,0,0
2026-01-05T09:00:00Z,DE-LU,FR,1540.0,3474.0,1575.0,0,0,0
2026-01-05T09:00:00Z,DE-LU,NL,1980.0,4248.0,1766.0,0,0,0
2026-01-05T09:00:00Z,DE-LU,PL,606.0,1466.0,-178.0,0,0,0
2026-01-05T09:00:00Z,DE-LU,CZ,3609.0,3804.0,-338.0,0,0,0
2026-01-05T09:00:00Z,DE-LU,DK1,526.0,1752.0,97.0,0,0,0
2026-01-05T10:00:00Z,DE-LU,AT,376.0,856.0,-584.0,0,0,0
2026-01-05T10:00:00Z,DE-LU,FR,819.0,873.0,-196.0,0,0,0
2026-01-05T10:00:00Z,DE-LU,NL,1900.0,3632.0,-907.0,0,0,0
2026-01-05T10:00:00Z,DE-LU,PL,951.0,2874.0,-1198.0,0,0,0
2026-01-05T10:00:00Z,DE-LU,CZ,1777.0,3196.0,1779.0,0,0,0
2026-01-05T10:00:00Z,DE-LU,DK1,863.0,1523.0,-64.0,0,0,0
2026-01-05T11:00:00Z,DE-LU,AT,1063.0,3217.0,-2088.0,0,0,0
2026-01-05T11:00:00Z,DE-LU,FR,1009.0,1735.0,1031.0,0,0,0
2026-01-05T11:00:00Z,DE-LU,NL,1670.0,3915.0,443.0,0,0,0
2026-01-05T11:00:00Z,DE-LU,PL,1603.0,3220.0,-1340.0,0,0,0
2026-01-05T11:00:00Z,DE-LU,CZ,1394.0,3796.0,-448.0,0,0,0
2026-01-05T11:00:00Z,DE-LU,DK1,1228.0,1372.0,934.0,0,0,0
2026-01-05T12:00:00Z,DE-LU,AT,1543.0,2248.0,214.0,0,0,0
2026-01-05T12:00:00Z,DE-LU,FR,836.0,1257.0,791.0,0,0,0
2026-01-05T12:00:00Z,DE-LU,NL,1658.0,1897.0,1106.0,0,0,0
2026-01-05T12:00:00Z,DE-LU,PL,3952.0,4335.0,2621.0,0,0,0
2026-01-05T12:00:00Z,DE-LU,CZ,885.0,1232.0,157.0,0,0,0
2026-01-05T12:00:00Z,DE-LU,DK1,2698.0,2844.0,-915.0,0,0,0
2026-01-05T13:00:00Z,DE-LU,AT,422.0,812.0,-196.0,0,0,0
2026-01-05T13:00:00Z,DE-LU,FR,302.0,1002.0,-751.0,0,0,0
2026-01-05T13:00:00Z,DE-LU,NL,2746.0,3057.0,-507.0,0,0,0
2026-01-05T13:00:00Z,DE-LU,PL,931.0,1130.0,318.0,0,0,0
2026-01-05T13:00:00Z,DE-LU,CZ,3049.0,3400.0,-2543.0,0,0,0
2026-01-05T13:00:00Z,DE-LU,DK1,907.0,2563.0,1445.0,0,0,0
2026-01-05T14:00:00Z,DE-LU,AT,2142.0,3419.0,-1228.0,0,0,0
2026-01-05T14:00:00Z,DE-LU,FR,722.0,2079.0,-897.0,0,0,0
2026-01-05T14:00:00Z,DE-LU,NL,1259.0,1945.0,-125.0,0,0,0
2026-01-05T14:00:00Z,DE-LU,PL,1281.0,1691.0,-1054.0,0,0,0
2026-01-05T14:00:00Z,DE-LU,CZ,400.0,1180.0,-327.0,0,0,0
2026-01-05T14:00:00Z,DE-LU,DK1,1200.0,2898.0,1239.0,0,0,0
2026-01-05T15:00:00Z,DE-LU,AT,2596.0,2999.0,1919.0,0,0,0
2026-01-05T15:00:00Z,DE-LU,FR,1935.0,2527.0,-1658.0,0,0,0
2026-01-05T15:00:00Z,DE-LU,NL,2894.0,3392.0,-1295.0,0,0,20.0
2026-01-05T15:00:00Z,DE-LU,PL,1846.0,2378.0,-1872.0,0,0,29.0
2026-01-05T15:00:00Z,DE-LU,CZ,368.0,1091.0,-25.0,0,0,0
2026-01-05T15:00:00Z,DE-LU,DK1,2195.0,3628.0,2004.0,0,0,0
2026-01-05T16:00:00Z,DE-LU,AT,2213.0,3454.0,-1102.0,0,0,0
2026-01-05T16:00:00Z,DE-LU,FR,402.0,846.0,650.0,0,0,0
2026-01-05T16:00:00Z,DE-LU,NL,2553.0,3306.0,1585.0,0,0,0
2026-01-05T16:00:00Z,DE-LU,PL,3005.0,3439.0,2465.0,0,0,0
2026-01-05T16:00:00Z,DE-LU,CZ,1713.0,2046.0,453.0,0,0,0
2026-01-05T16:00:00Z,DE-LU,DK1,1990.0,2596.0,-2.0,0,0,0
2026-01-05T17:00:00Z,DE-LU,AT,1616.0,1842.0,723.0,0,0,0
2026-01-05T17:00:00Z,DE-LU,FR,1571.0,4212.0,-1977.0,0,0,0
2026-01-05T17:00:00Z,DE-LU,NL,2645.0,2947.0,86.0,0,0,0
2026-01-05T17:00:00Z,DE-LU,PL,2080.0,4197.0,-464.0,0,0,0
2026-01-05T17:00:00Z,DE-LU,CZ,990.0,3132.0,1728.0,6.69,54.0,0
2026-01-05T17:00:00Z,DE-LU,DK1,788.0,944.0,-590.0,0,0,0
2026-01-05T18:00:00Z,DE-LU,AT,1617.0,3475.0,-1762.0,0,0,0
2026-01-05T18:00:00Z,DE-LU,FR,1489.0,1720.0,-396.0,0,0,0
2026-01-05T18:00:00Z,DE-LU,NL,1429.0,1506.0,892.0,0,0,0
2026-01-05T18:00:00Z,DE-LU,PL,1342.0,1600.0,-338.0,0,0,0
2026-01-05T18:00:00Z,DE-LU,CZ,1707.0,1833.0,93.0,0,0,0
2026-01-05T18:00:00Z,DE-LU,DK1,639.0,1420.0,-961.0,0,0,0
2026-01-05T19:00:00Z,DE-LU,AT,1066.0,3148.0,-1882.0,1.57,39.0,0
2026-01-05T19:00:00Z,DE-LU,FR,2167.0,2494.0,1079.0,0,0,0
2026-01-05T19:00:00Z,DE-LU,NL,1236.0,1921.0,557.0,0,0,0
2026-01-05T19:00:00Z,DE-LU,PL,1790.0,3128.0,1344.0,0,0,0
2026-01-05T19:00:00Z,DE-LU,CZ,2774.0,3500.0,408.0,0,0,0
2026-01-05T19:00:00Z,DE-LU,DK1,448.0,1088.0,-751.0,0,0,0
2026-01-05T20:00:00Z,DE-LU,AT,1862.0,3986.0,-360.0,0,0,0
2026-01-05T20:00:00Z,DE-LU,FR,1038.0,1272.0,-62.0,0,0,0
2026-01-05T20:00:00Z,DE-LU,NL,722.0,2104.0,647.0,1.29,0,0
2026-01-05T20:00:00Z,DE-LU,PL,349.0,1123.0,430.0,1.05,13.0,0
2026-01-05T20:00:00Z,DE-LU,CZ,906.0,1170.0,-576.0,0,0,0
2026-01-05T20:00:00Z,DE-LU,DK1,1449.0,1711.0,-1225.0,0,0,0
2026-01-05T21:00:00Z,DE-LU,AT,2419.0,2688.0,1377.0,0,0,0
2026-01-05T21:00:00Z,DE-LU,FR,2186.0,3328.0,2294.0,0,0,0
2026-01-05T21:00:00Z,DE-LU,NL,3845.0,4428.0,-1734.0,0,0,0
2026-01-05T21:00:00Z,DE-LU,PL,2290.0,2852.0,44.0,0,0,0
2026-01-05T21:00:00Z,DE-LU,CZ,2141.0,3466.0,-101.0,0,0,0
2026-01-05T21:00:00Z,DE-LU,DK1,1358.0,2813.0,-410.0,0,0,0
2026-01-05T22:00:00Z,DE-LU,AT,663.0,991.0,454.0,0,0,0
2026-01-05T22:00:00Z,DE-LU,FR,2317.0,2909.0,-1565.0,0,0,0
