timestamp_utc,imbalance_price_long_eur_mwh,imbalance_price_short_eur_mwh,system_balance_mw,regulation_state,activated_reserves_mw,reserve_type
2026-01-05T00:00:00Z,65.1,80.28,268.0,SHORT,173.0,aFRR
2026-01-05T00:15:00Z,67.23,93.31,140.0,SHORT,92.0,mFRR
2026-01-05T00:30:00Z,15.37,79.88,-389.0,LONG,271.0,RR
2026-01-05T00:45:00Z,66.68,142.43,489.0,SHORT,357.0,aFRR
2026-01-05T01:00:00Z,46.93,78.25,-210.0,LONG,122.0,mFRR
2026-01-05T01:15:00Z,69.42,110.55,231.0,SHORT,162.0,aFRR
2026-01-05T01:30:00Z,68.67,104.66,146.0,SHORT,92.0,aFRR
2026-01-05T01:45:00Z,67.7,131.71,521.0,SHORT,306.0,RR
2026-01-05T02:00:00Z,68.73,75.33,-40.0,BALANCED,0,
2026-01-05T02:15:00Z,65.72,140.67,249.0,SHORT,180.0,mFRR
2026-01-05T02:30:00Z,68.68,108.3,208.0,SHORT,158.0,mFRR
2026-01-05T02:45:00Z,67.65,145.97,308.0,SHORT,189.0,aFRR
2026-01-05T03:00:00Z,68.14,77.58,20.0,BALANCED,0,
2026-01-05T03:15:00Z,19.07,79.33,-362.0,LONG,209.0,mFRR
2026-01-05T03:30:00Z,70.78,80.2,123.0,SHORT,82.0,RR
2026-01-05T03:45:00Z,67.86,73.51,-30.0,BALANCED,0,
2026-01-05T04:00:00Z,66.41,76.24,-24.0,BALANCED,0,
2026-01-05T04:15:00Z,66.47,74.64,-62.0,BALANCED,0,
2026-01-05T04:30:00Z,67.4,76.41,91.0,BALANCED,0,
2026-01-05T04:45:00Z,61.29,78.96,-135.0,LONG,64.0,RR
2026-01-05T05:00:00Z,55.75,82.56,-119.0,LONG,62.0,mFRR
2026-01-05T05:15:00Z,70.65,105.97,252.0,SHORT,138.0,aFRR
2026-01-05T05:30:00Z,69.61,72.04,76.0,BALANCED,0,
2026-01-05T05:45:00Z,66.16,124.56,171.0,SHORT,53.0,mFRR
2026-01-05T06:00:00Z,-7.45,78.82,-666.0,LONG,432.0,mFRR
2026-01-05T06:15:00Z,42.66,76.44,-175.0,LONG,58.0,mFRR
2026-01-05T06:30:00Z,35.51,80.12,-139.0,LONG,99.0,mFRR
2026-01-05T06:45:00Z,6.89,83.02,-523.0,LONG,402.0,aFRR
2026-01-05T07:00:00Z,68.09,134.27,424.0,SHORT,161.0,aFRR
2026-01-05T07:15:00Z,78.5,115.66,242.0,SHORT,160.0,mFRR
2026-01-05T07:30:00Z,69.15,75.75,-25.0,BALANCED,0,
2026-01-05T07:45:00Z,69.04,77.31,-31.0,BALANCED,0,
2026-01-05T08:00:00Z,12.58,77.06,-488.0,LONG,248.0,mFRR
2026-01-05T08:15:00Z,67.34,141.84,591.0,SHORT,282.0,RR
2026-01-05T08:30:00Z,-8.43,74.63,-638.0,LONG,334.0,aFRR
2026-01-05T08:45:00Z,65.73,73.6,68.0,BALANCED,0,
2026-01-05T09:00:00Z,65.78,141.15,388.0,SHORT,265.0,aFRR
2026-01-05T09:15:00Z,71.44,74.98,-17.0,BALANCED,0,
2026-01-05T09:30:00Z,68.51,127.77,108.0,SHORT,64.0,aFRR
2026-01-05T09:45:00Z,31.94,77.61,-321.0,LONG,168.0,aFRR
2026-01-05T10:00:00Z,41.83,79.12,-141.0,LONG,49.0,RR
2026-01-05T10:15:00Z,66.02,93.67,152.0,SHORT,79.0,mFRR
2026-01-05T10:30:00Z,73.03,71.32,-18.0,BALANCED,0,
2026-01-05T10:45:00Z,7.64,82.8,-572.0,LONG,280.0,RR
2026-01-05T11:00:00Z,67.87,72.06,-95.0,BALANCED,0,
2026-01-05T11:15:00Z,69.67,154.69,478.0,SHORT,289.0,mFRR
2026-01-05T11:30:00Z,65.71,118.6,367.0,SHORT,110.0,aFRR
2026-01-05T11:45:00Z,69.96,76.35,-25.0,BALANCED,0,
2026-01-05T12:00:00Z,66.22,76.82,-31.0,BALANCED,0,
2026-01-05T12:15:00Z,66.61,72.27,93.0,BALANCED,0,
2026-01-05T12:30:00Z,69.44,74.2,68.0,BALANCED,0,
2026-01-05T12:45:00Z,63.62,90.26,117.0,SHORT,61.0,mFRR
2026-01-05T13:00:00Z,70.3,75.95,-21.0,BALANCED,0,
2026-01-05T13:15:00Z,48.57,79.89,-192.0,LONG,66.0,RR
2026-01-05T13:30:00Z,68.19,74.22,3.0,BALANCED,0,
2026-01-05T13:45:00Z,68.43,155.24,790.0,SHORT,439.0,aFRR
2026-01-05T14:00:00Z,6.13,75.24,-486.0,LONG,382.0,aFRR
2026-01-05T14:15:00Z,67.42,117.3,233.0,SHORT,94.0,aFRR
2026-01-05T14:30:00Z,47.32,76.33,-283.0,LONG,88.0,aFRR
2026-01-05T14:45:00Z,65.08,135.21,201.0,SHORT,96.0,aFRR
2026-01-05T15:00:00Z,66.23,153.55,232.0,SHORT,153.0,RR
2026-01-05T15:15:00Z,33.26,70.26,-332.0,LONG,221.0,aFRR
2026-01-05T15:30:00Z,65.12,120.3,221.0,SHORT,84.0,mFRR
2026-01-05T15:45:00Z,68.35,127.76,420.0,SHORT,282.0,RR
2026-01-05T16:00:00Z,31.01,73.8,-220.0,LONG,171.0,aFRR
2026-01-05T16:15:00Z,65.17,120.56,264.0,SHORT,98.0,aFRR
2026-01-05T16:30:00Z,67.14,112.41,316.0,SHORT,166.0,mFRR
2026-01-05T16:45:00Z,71.06,76.64,-39.0,BALANCED,0,
2026-01-05T17:00:00Z,73.33,118.02,229.0,SHORT,165.0,aFRR
2026-01-05T17:15:00Z,69.25,75.33,-37.0,BALANCED,0,
2026-01-05T17:30:00Z,65.9,106.88,484.0,SHORT,161.0,aFRR
2026-01-05T17:45:00Z,67.85,112.0,243.0,SHORT,158.0,RR
2026-01-05T18:00:00Z,9.98,81.84,-492.0,LONG,358.0,mFRR
2026-01-05T18:15:00Z,51.18,82.81,-126.0,LONG,78.0,RR
2026-01-05T18:30:00Z,44.41,81.0,-220.0,LONG,143.0,RR
2026-01-05T18:45:00Z,67.43,116.73,272.0,SHORT,207.0,mFRR
2026-01-05T19:00:00Z,69.15,107.24,150.0,SHORT,49.0,RR
2026-01-05T19:15:00Z,70.16,76.48,5.0,BALANCED,0,
2026-01-05T19:30:00Z,63.39,131.59,472.0,SHORT,364.0,mFRR
2026-01-05T19:45:00Z,61.55,141.96,375.0,SHORT,135.0,mFRR
2026-01-05T20:00:00Z,51.76,85.19,-166.0,LONG,65.0,RR
2026-01-05T20:15:00Z,65.09,113.92,112.0,SHORT,56.0,RR
2026-01-05T20:30:00Z,67.99,75.45,-55.0,BALANCED,0,
2026-01-05T20:45:00Z,27.15,75.16,-401.0,LONG,269.0,RR
2026-01-05T21:00:00Z,69.39,127.99,163.0,SHORT,86.0,mFRR
2026-01-05T21:15:00Z,64.0,142.67,367.0,SHORT,275.0,aFRR
2026-01-05T21:30:00Z,67.12,98.65,106.0,SHORT,79.0,aFRR
2026-01-05T21:45:00Z,69.39,75.45,88.0,BALANCED,0,
2026-01-05T22:00:00Z,64.44,141.46,286.0,SHORT,181.0,RR
2026-01-05T22:15:00Z,64.19,115.64,102.0,SHORT,59.0,aFRR
2026-01-05T22:30:00Z,16.46,79.51,-422.0,LONG,149.0,aFRR
2026-01-05T22:45:00Z,18.45,73.85,-407.0,LONG,173.0,mFRR
2026-01-05T23:00:00Z,39.22,77.14,-175.0,LONG,102.0,RR
2026-01-05T23:15:00Z,17.33,70.32,-628.0,LONG,268.0,aFRR
2026-01-05T23:30:00Z,8.92,81.12,-560.0,LONG,365.0,RR
2026-01-05T23:45:00Z,-14.41,80.78,-787.0,LONG,521.0,RR
2026-01-06T00:00:00Z,64.69,135.91,438.0,SHORT,346.0,RR
2026-01-06T00:15:00Z,68.69,110.12,220.0,SHORT,125.0,aFRR
2026-01-06T00:30:00Z,64.3,143.53,236.0,SHORT,136.0,RR
2026-01-06T00:45:00Z,46.91,78.98,-167.0,LONG,124.0,mFRR
2026-01-06T01:00:00Z,59.06,77.98,-101.0,LONG,37.0,aFRR
2026-01-06T01:15:00Z,65.4,123.57,401.0,SHORT,158.0,mFRR
2026-01-06T01:30:00Z,66.53,124.36,281.0,SHORT,150.0,RR
2026-01-06T01:45:00Z,71.67,131.09,309.0,SHORT,181.0,aFRR
2026-01-06T02:00:00Z,-12.29,78.0,-665.0,LONG,326.0,aFRR
2026-01-06T02:15:00Z,18.74,82.57,-448.0,LONG,293.0,RR
2026-01-06T02:30:00Z,64.64,122.2,406.0,SHORT,157.0,RR
2026-01-06T02:45:00Z,64.44,139.0,407.0,SHORT,131.0,RR
2026-01-06T03:00:00Z,60.6,120.58,406.0,SHORT,255.0,aFRR
2026-01-06T03:15:00Z,66.71,151.73,290.0,SHORT,171.0,mFRR
2026-01-06T03:30:00Z,70.3,76.6,48.0,BALANCED,0,
2026-01-06T03:45:00Z,70.84,96.16,108.0,SHORT,33.0,aFRR
2026-01-06T04:00:00Z,68.18,73.65,-48.0,BALANCED,0,
2026-01-06T04:15:00Z,-1.37,79.13,-702.0,LONG,395.0,aFRR
2026-01-06T04:30:00Z,36.98,76.69,-142.0,LONG,98.0,RR
2026-01-06T04:45:00Z,14.82,73.23,-446.0,LONG,303.0,RR
2026-01-06T05:00:00Z,66.24,112.69,137.0,SHORT,90.0,aFRR
2026-01-06T05:15:00Z,35.26,78.93,-256.0,LONG,126.0,aFRR
2026-01-06T05:30:00Z,68.07,76.48,-83.0,BALANCED,0,
2026-01-06T05:45:00Z,48.26,72.77,-135.0,LONG,90.0,mFRR
2026-01-06T06:00:00Z,64.54,125.49,284.0,SHORT,218.0,aFRR
2026-01-06T06:15:00Z,67.65,73.81,63.0,BALANCED,0,
2026-01-06T06:30:00Z,70.99,73.68,76.0,BALANCED,0,
2026-01-06T06:45:00Z,55.38,72.52,-133.0,LONG,84.0,RR
2026-01-06T07:00:00Z,29.05,78.04,-308.0,LONG,118.0,RR
2026-01-06T07:15:00Z,72.28,72.53,-44.0,BALANCED,0,
2026-01-06T07:30:00Z,66.99,98.63,132.0,SHORT,59.0,mFRR
2026-01-06T07:45:00Z,41.03,83.2,-212.0,LONG,108.0,mFRR
2026-01-06T08:00:00Z,68.53,74.21,-16.0,BALANCED,0,
2026-01-06T08:15:00Z,38.71,79.62,-169.0,LONG,114.0,mFRR
2026-01-06T08:30:00Z,63.14,184.53,542.0,SHORT,173.0,aFRR
2026-01-06T08:45:00Z,70.42,109.81,137.0,SHORT,69.0,mFRR
2026-01-06T09:00:00Z,71.97,93.91,125.0,SHORT,49.0,aFRR
2026-01-06T09:15:00Z,33.67,75.57,-193.0,LONG,87.0,aFRR
2026-01-06T09:30:00Z,66.78,88.63,119.0,SHORT,42.0,mFRR
2026-01-06T09:45:00Z,69.02,71.3,36.0,BALANCED,0,
2026-01-06T10:00:00Z,45.17,78.49,-207.0,LONG,106.0,RR
2026-01-06T10:15:00Z,68.92,122.5,484.0,SHORT,367.0,mFRR
2026-01-06T10:30:00Z,62.19,135.43,222.0,SHORT,84.0,aFRR
2026-01-06T10:45:00Z,42.25,79.68,-162.0,LONG,79.0,aFRR
2026-01-06T11:00:00Z,70.89,74.87,12.0,BALANCED,0,
2026-01-06T11:15:00Z,70.99,74.72,-4.0,BALANCED,0,
2026-01-06T11:30:00Z,68.1,74.17,23.0,BALANCED,0,
2026-01-06T11:45:00Z,71.36,73.71,-14.0,BALANCED,0,
2026-01-06T12:00:00Z,67.31,74.66,68.0,BALANCED,0,
2026-01-06T12:15:00Z,59.3,75.21,-122.0,LONG,86.0,RR
2026-01-06T12:30:00Z,69.29,122.34,173.0,SHORT,82.0,RR
2026-01-06T12:45:00Z,70.77,76.9,25.0,BALANCED,0,
2026-01-06T13:00:00Z,20.78,75.86,-331.0,LONG,170.0,mFRR
2026-01-06T13:15:00Z,30.63,78.81,-317.0,LONG,178.0,aFRR
2026-01-06T13:30:00Z,68.29,72.59,16.0,BALANCED,0,
2026-01-06T13:45:00Z,58.14,86.23,176.0,SHORT,69.0,RR
2026-01-06T14:00:00Z,19.96,76.74,-460.0,LONG,328.0,mFRR
2026-01-06T14:15:00Z,67.4,76.0,-44.0,BALANCED,0,
2026-01-06T14:30:00Z,37.85,77.23,-225.0,LONG,81.0,RR
2026-01-06T14:45:00Z,-13.39,76.46,-636.0,LONG,419.0,mFRR
2026-01-06T15:00:00Z,28.01,74.48,-373.0,LONG,139.0,mFRR
2026-01-06T15:15:00Z,69.81,108.66,193.0,SHORT,146.0,RR
2026-01-06T15:30:00Z,37.91,78.59,-149.0,LONG,107.0,mFRR
2026-01-06T15:45:00Z,67.82,75.73,-100.0,BALANCED,0,
2026-01-06T16:00:00Z,66.42,134.41,431.0,SHORT,287.0,RR
2026-01-06T16:15:00Z,64.39,110.36,211.0,SHORT,150.0,aFRR
2026-01-06T16:30:00Z,64.5,132.66,133.0,SHORT,47.0,RR
2026-01-06T16:45:00Z,64.74,137.87,501.0,SHORT,222.0,mFRR
2026-01-06T17:00:00Z,68.76,73.72,-54.0,BALANCED,0,
2026-01-06T17:15:00Z,69.74,76.8,15.0,BALANCED,0,
2026-01-06T17:30:00Z,68.72,133.18,293.0,SHORT,175.0,aFRR
2026-01-06T17:45:00Z,69.04,127.87,249.0,SHORT,102.0,aFRR
2026-01-06T18:00:00Z,70.23,76.81,84.0,BALANCED,0,
2026-01-06T18:15:00Z,65.81,78.9,-83.0,BALANCED,0,
2026-01-06T18:30:00Z,24.69,77.17,-275.0,LONG,211.0,RR
2026-01-06T18:45:00Z,32.33,74.8,-324.0,LONG,121.0,RR
2026-01-06T19:00:00Z,68.32,116.79,175.0,SHORT,102.0,mFRR
2026-01-06T19:15:00Z,67.21,77.71,-18.0,BALANCED,0,
2026-01-06T19:30:00Z,66.63,78.16,90.0,BALANCED,0,
2026-01-06T19:45:00Z,71.31,112.2,167.0,SHORT,87.0,RR
2026-01-06T20:00:00Z,17.29,76.12,-529.0,LONG,413.0,aFRR
2026-01-06T20:15:00Z,40.08,74.86,-193.0,LONG,99.0,RR
2026-01-06T20:30:00Z,31.89,76.98,-263.0,LONG,208.0,RR
2026-01-06T20:45:00Z,32.94,77.08,-266.0,LONG,100.0,aFRR
2026-01-06T21:00:00Z,68.77,71.38,11.0,BALANCED,0,
2026-01-06T21:15:00Z,69.4,73.19,-96.0,BALANCED,0,
2026-01-06T21:30:00Z,69.47,74.27,84.0,BALANCED,0,
2026-01-06T21:45:00Z,47.06,78.04,-102.0,LONG,75.0,aFRR
2026-01-06T22:00:00Z,67.9,103.9,303.0,SHORT,184.0,RR
2026-01-06T22:15:00Z,70.99,131.51,301.0,SHORT,219.0,mFRR
2026-01-06T22:30:00Z,69.7,70.87,-25.0,BALANCED,0,
2026-01-06T22:45:00Z,69.88,76.53,18.0,BALANCED,0,
2026-01-06T23:00:00Z,44.87,80.0,-244.0,LONG,97.0,mFRR
2026-01-06T23:15:00Z,21.2,77.1,-354.0,LONG,159.0,aFRR
2026-01-06T23:30:00Z,50.3,76.59,-206.0,LONG,163.0,aFRR
2026-01-06T23:45:00Z,65.49,129.53,314.0,SHORT,249.0,RR
2026-01-07T00:00:00Z,73.06,157.38,483.0,SHORT,315.0,RR
2026-01-07T00:15:00Z,67.3,145.03,485.0,SHORT,228.0,RR
2026-01-07T00:30:00Z,21.87,79.29,-452.0,LONG,316.0,RR
2026-01-07T00:45:00Z,72.45,97.21,104.0,SHORT,60.0,RR
2026-01-07T01:00:00Z,69.42,72.71,-88.0,BALANCED,0,
2026-01-07T01:15:00Z,28.03,75.72,-412.0,LONG,129.0,aFRR
2026-01-07T01:30:00Z,70.02,77.83,-36.0,BALANCED,0,
2026-01-07T01:45:00Z,17.51,79.73,-433.0,LONG,252.0,mFRR
2026-01-07T02:00:00Z,53.37,76.46,-116.0,LONG,58.0,RR
2026-01-07T02:15:00Z,61.25,120.47,351.0,SHORT,105.0,aFRR
2026-01-07T02:30:00Z,69.59,111.98,224.0,SHORT,110.0,RR
2026-01-07T02:45:00Z,34.25,79.85,-201.0,LONG,113.0,RR
2026-01-07T03:00:00Z,70.32,152.48,517.0,SHORT,377.0,aFRR
2026-01-07T03:15:00Z,39.68,81.99,-131.0,LONG,88.0,aFRR
2026-01-07T03:30:00Z,68.15,77.89,-54.0,BALANCED,0,
2026-01-07T03:45:00Z,65.46,118.24,414.0,SHORT,266.0,mFRR
2026-01-07T04:00:00Z,70.76,71.37,-26.0,BALANCED,0,
