report_id,trade_id,reporting_entity,transaction_type,contract_type,delivery_point,submission_timestamp,reporting_deadline,status,rejection_reason
ACER-312694768,TRD-001001,A0003421.DE,STANDARD_SUPPLY,AUCT,DE-LU,2026-01-05T18:41:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-584570777,TRD-001002,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T07:27:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-756327613,TRD-001003,A0003421.DE,STANDARD_SUPPLY,AUCT,DE-LU,2026-01-05T12:15:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-599233027,TRD-001004,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T16:30:00Z,2026-01-06T23:59:59Z,SUBMITTED,
ACER-628612704,TRD-001005,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T14:28:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-207221415,TRD-001006,A0003421.DE,STANDARD_SUPPLY,AUCT,DE-LU,2026-01-05T11:55:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-316542136,TRD-001007,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T14:00:00Z,2026-01-06T23:59:59Z,SUBMITTED,
ACER-949318014,TRD-001008,A0003421.DE,STANDARD_SUPPLY,AUCT,DE-LU,2026-01-05T10:56:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-476566997,TRD-001009,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T13:19:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-922384362,TRD-001010,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T15:21:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-512275507,TRD-001011,A0003421.DE,TRANSPORTATION,CONT,DE-LU,2026-01-05T07:39:00Z,2026-01-06T23:59:59Z,SUBMITTED,
ACER-696681706,TRD-001012,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T17:26:00Z,2026-01-06T23:59:59Z,SUBMITTED,
ACER-116247565,TRD-001013,A0003421.DE,STANDARD_SUPPLY,AUCT,DE-LU,2026-01-05T09:12:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-891902083,TRD-001014,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T16:06:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-802150115,TRD-001015,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T21:45:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-116667830,TRD-001016,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T20:08:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-246079462,TRD-001017,A0003421.DE,STANDARD_SUPPLY,AUCT,DE-LU,2026-01-05T20:29:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-268367261,TRD-001018,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T09:12:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-494139034,TRD-001019,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T08:31:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-138985843,TRD-001020,A0003421.DE,STANDARD_SUPPLY,AUCT,DE-LU,2026-01-05T12:26:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-351522929,TRD-001021,A0003421.DE,TRANSPORTATION,CONT,DE-LU,2026-01-05T21:15:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-765740675,TRD-001022,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T08:14:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-164502220,TRD-001023,A0003421.DE,STANDARD_SUPPLY,AUCT,DE-LU,2026-01-05T12:01:00Z,2026-01-06T23:59:59Z,SUBMITTED,
ACER-498792691,TRD-001024,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T18:36:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-691898399,TRD-001025,A0003421.DE,TRANSPORTATION,AUCT,DE-LU,2026-01-05T13:12:00Z,2026-01-06T23:59:59Z,SUBMITTED,
ACER-369818117,TRD-001026,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T18:34:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-759234605,TRD-001027,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T21:35:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-599393091,TRD-001028,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T17:38:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-466828318,TRD-001029,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T12:50:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-833860494,TRD-001030,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T13:05:00Z,2026-01-06T23:59:59Z,PENDING,
ACER-575584249,TRD-001031,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T12:19:00Z,2026-01-06T23:59:59Z,SUBMITTED,
ACER-462074004,TRD-001032,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T16:51:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-525324670,TRD-001033,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T10:46:00Z,2026-01-06T23:59:59Z,PENDING,
ACER-846279411,TRD-001034,A0003421.DE,TRANSPORTATION,CONT,DE-LU,2026-01-05T07:19:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-153033796,TRD-001035,A0003421.DE,TRANSPORTATION,CONT,DE-LU,2026-01-05T10:37:00Z,2026-01-06T23:59:59Z,SUBMITTED,
ACER-557924208,TRD-001036,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T10:18:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-820403968,TRD-001037,A0003421.DE,STANDARD_SUPPLY,AUCT,DE-LU,2026-01-05T12:16:00Z,2026-01-06T23:59:59Z,ACCEPTED,
ACER-896074782,TRD-001038,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-05T17:28:00Z,2026-01-06T23:59:59Z,PENDING,
ACER-656628102,TRD-001039,A0003421.DE,TRANSPORTATION,CONT,DE-LU,2026-01-05T12:54:00Z,2026-01-06T23:59:59Z,SUBMITTED,
ACER-461559915,TRD-001031,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-06T12:34:00Z,2026-01-07T23:59:59Z,SUBMITTED,
ACER-749506716,TRD-001032,A0003421.DE,STANDARD_SUPPLY,CONT,DE-LU,2026-01-06T22:42:00Z,2026-01-07T23:59:59Z,ACCEPTED,
