timestamp_utc,forecast_horizon_hrs,wind_forecast_mw,wind_p10_mw,wind_p90_mw,solar_forecast_mw,solar_p10_mw,solar_p90_mw,total_renewable_mw,forecast_error_mw
2026-01-05T00:00:00Z,19.3,274.2,164.5,350,0,0,0.0,274.2,4.7
2026-01-05T00:15:00Z,17.2,260.9,156.6,350,0,0,0.0,260.9,-9.4
2026-01-05T00:30:00Z,14.1,245.5,147.3,343.7,0,0,0.0,245.5,-1.6
2026-01-05T00:45:00Z,46.4,320.3,192.2,350,0,0,0.0,320.3,5.6
2026-01-05T01:00:00Z,43.4,290.3,174.2,350,0,0,0.0,290.3,20.7
2026-01-05T01:15:00Z,5.9,262.7,157.6,350,0,0,0.0,262.7,-15.1
2026-01-05T01:30:00Z,39.5,317.0,190.2,350,0,0,0.0,317.0,-31.1
2026-01-05T01:45:00Z,10.1,303.2,181.9,350,0,0,0.0,303.2,13.1
2026-01-05T02:00:00Z,7.4,299.7,179.8,350,0,0,0.0,299.7,-0.3
2026-01-05T02:15:00Z,47.6,302.9,181.7,350,0,0,0.0,302.9,-9.9
2026-01-05T02:30:00Z,13.2,329.0,197.4,350,0,0,0.0,329.0,-26.3
2026-01-05T02:45:00Z,43.0,308.9,185.3,350,0,0,0.0,308.9,-0.4
2026-01-05T03:00:00Z,42.6,287.5,172.5,350,0,0,0.0,287.5,32.5
2026-01-05T03:15:00Z,18.7,234.0,140.4,327.6,0,0,0.0,234.0,2.6
2026-01-05T03:30:00Z,37.5,308.3,185.0,350,0,0,0.0,308.3,-15.4
2026-01-05T03:45:00Z,22.5,300.5,180.3,350,0,0,0.0,300.5,11.4
2026-01-05T04:00:00Z,12.3,295.7,177.4,350,0,0,0.0,295.7,11.3
2026-01-05T04:15:00Z,0.3,317.5,190.5,350,0,0,0.0,317.5,-18.0
2026-01-05T04:30:00Z,38.9,332.7,199.6,350,0,0,0.0,332.7,-10.9
2026-01-05T04:45:00Z,25.6,257.7,154.6,350,0,0,0.0,257.7,-10.2
2026-01-05T05:00:00Z,27.1,290.6,174.3,350,0,0,0.0,290.6,-16.1
2026-01-05T05:15:00Z,21.5,287.3,172.4,350,0,0,0.0,287.3,7.7
2026-01-05T05:30:00Z,22.0,275.9,165.5,350,0,0,0.0,275.9,9.9
2026-01-05T05:45:00Z,7.6,329.6,197.8,350,0,0,0.0,329.6,-1.5
2026-01-05T06:00:00Z,18.7,311.1,186.7,350,0.0,0,0.0,311.1,-2.2
2026-01-05T06:15:00Z,9.2,295.9,177.5,350,0.0,0,0.0,295.9,-1.6
2026-01-05T06:30:00Z,29.2,293.2,175.9,350,0.0,0,0.0,293.2,-28.2
2026-01-05T06:45:00Z,16.2,312.8,187.7,350,0.0,0,0.0,312.8,-2.1
2026-01-05T07:00:00Z,22.6,334.0,200.4,350,9.2,4.6,12.0,343.2,14.5
2026-01-05T07:15:00Z,27.3,292.4,175.5,350,11.1,5.6,14.4,303.6,-28.7
2026-01-05T07:30:00Z,2.2,304.3,182.6,350,12.4,6.2,16.2,316.8,4.2
