trade_id,timestamp_executed,delivery_start,delivery_end,direction,volume_mw,price_eur_mwh,plant_id,strategy,pnl_eur,trader_id,order_type,remit_reported
TRD-001001,2026-01-05T06:30:00Z,2026-01-05 06:30,2026-01-05 06:45,SELL,10,48.01,ISAR_OCGT,ID_OPTIM,-1284.19,TR_FISCHER,LIMIT,True
TRD-001002,2026-01-05T10:45:00Z,2026-01-05 10:45,2026-01-05 11:00,BUY,75,90.76,,BALANCING,1712.96,TR_WEBER,LIMIT,True
TRD-001003,2026-01-05T15:30:00Z,2026-01-05 15:30,2026-01-05 15:45,SELL,150,79.04,BAYERN_SOLAR,ID_OPTIM,1007.19,TR_SCHMIDT,LIMIT,True
TRD-001004,2026-01-05T20:30:00Z,2026-01-05 20:30,2026-01-05 20:45,SELL,150,60.64,RHEIN_CCGT,ID_OPTIM,-1619.81,TR_FISCHER,LIMIT,True
TRD-001005,2026-01-05T14:15:00Z,2026-01-05 14:15,2026-01-05 14:30,BUY,100,93.8,,ID_OPTIM,-2270.57,TR_MUELLER,LIMIT,True
TRD-001006,2026-01-05T18:15:00Z,2026-01-05 18:15,2026-01-05 18:30,BUY,150,90.88,,ID_OPTIM,1503.53,TR_FISCHER,LIMIT,True
TRD-001007,2026-01-05T20:45:00Z,2026-01-05 20:45,2026-01-05 21:00,SELL,200,73.62,ISAR_OCGT,SPREAD,-2479.98,TR_MUELLER,LIMIT,True
TRD-001008,2026-01-05T02:00:00Z,2026-01-05 02:00,2026-01-05 02:15,SELL,250,105.15,RHEIN_CCGT,SPREAD,-1535.39,TR_FISCHER,LIMIT,True
TRD-001009,2026-01-05T21:15:00Z,2026-01-05 21:15,2026-01-05 21:30,SELL,250,7.46,ISAR_OCGT,DA_HEDGE,2578.22,TR_SCHMIDT,LIMIT,True
TRD-001010,2026-01-05T10:45:00Z,2026-01-05 10:45,2026-01-05 11:00,BUY,10,50.54,,ID_OPTIM,-877.12,TR_FISCHER,LIMIT,True
TRD-001011,2026-01-05T06:30:00Z,2026-01-05 06:30,2026-01-05 06:45,SELL,20,54.28,BAYERN_SOLAR,ID_OPTIM,2204.3,TR_FISCHER,LIMIT,True
TRD-001012,2026-01-05T16:30:00Z,2026-01-05 16:30,2026-01-05 16:45,SELL,20,73.86,ISAR_OCGT,DA_HEDGE,8598.64,TR_MUELLER,MARKET,True
TRD-001013,2026-01-05T19:45:00Z,2026-01-05 19:45,2026-01-05 20:00,BUY,100,58.44,,SPREAD,2890.65,TR_SCHMIDT,ICEBERG,True
TRD-001014,2026-01-05T18:30:00Z,2026-01-05 18:30,2026-01-05 18:45,SELL,10,106.02,NORDSEE_WIND,ID_OPTIM,-454.1,TR_FISCHER,LIMIT,True
TRD-001015,2026-01-05T23:15:00Z,2026-01-05 23:15,2026-01-05 23:30,BUY,50,64.56,,ID_OPTIM,1719.02,TR_MUELLER,LIMIT,True
TRD-001016,2026-01-05T00:45:00Z,2026-01-05 00:45,2026-01-05 01:00,SELL,100,22.04,ISAR_OCGT,ID_OPTIM,152.32,TR_FISCHER,ICEBERG,True
TRD-001017,2026-01-05T17:30:00Z,2026-01-05 17:30,2026-01-05 17:45,SELL,75,85.23,BAYERN_SOLAR,ID_OPTIM,-1716.25,TR_FISCHER,LIMIT,True
TRD-001018,2026-01-05T01:15:00Z,2026-01-05 01:15,2026-01-05 01:30,BUY,380,97.99,,ID_OPTIM,277.92,TR_FISCHER,LIMIT,True
TRD-001019,2026-01-05T08:15:00Z,2026-01-05 08:15,2026-01-05 08:30,BUY,200,121.27,,DA_HEDGE,-157.48,TR_MUELLER,MARKET,True
TRD-001020,2026-01-05T14:30:00Z,2026-01-05 14:30,2026-01-05 14:45,SELL,200,86.11,RHEIN_CCGT,DA_HEDGE,-5423.18,TR_WEBER,ICEBERG,True
TRD-001021,2026-01-05T20:00:00Z,2026-01-05 20:00,2026-01-05 20:15,BUY,380,63.77,,SPREAD,-2106.09,TR_MUELLER,LIMIT,True
TRD-001022,2026-01-05T15:45:00Z,2026-01-05 15:45,2026-01-05 16:00,BUY,75,110.48,,SPREAD,613.24,TR_MUELLER,LIMIT,True
TRD-001023,2026-01-05T23:15:00Z,2026-01-05 23:15,2026-01-05 23:30,SELL,25,52.83,ISAR_OCGT,ID_OPTIM,-3460.02,TR_SCHMIDT,LIMIT,True
TRD-001024,2026-01-05T06:15:00Z,2026-01-05 06:15,2026-01-05 06:30,BUY,380,53.12,,BALANCING,418.68,TR_SCHMIDT,ICEBERG,True
TRD-001025,2026-01-05T21:45:00Z,2026-01-05 21:45,2026-01-05 22:00,SELL,20,62.55,RHEIN_CCGT,ID_OPTIM,1054.88,TR_FISCHER,LIMIT,True
TRD-001026,2026-01-05T22:00:00Z,2026-01-05 22:00,2026-01-05 22:15,BUY,75,53.43,,DA_HEDGE,-482.39,TR_WEBER,LIMIT,True
TRD-001027,2026-01-05T07:15:00Z,2026-01-05 07:15,2026-01-05 07:30,SELL,250,24.66,NORDSEE_WIND,SPREAD,4190.2,TR_MUELLER,LIMIT,True
