plant_id,load_mw,marginal_cost_eur_mwh,heat_rate_at_load_btu_kwh,efficiency_at_load_pct,co2_cost_eur_mwh,gas_cost_eur_mwh,vom_eur_mwh
RHEIN_CCGT,170,85.03,6224.0,54.8,23.95,58.37,2.7
RHEIN_CCGT,180,84.67,6197.0,55.1,23.85,58.12,2.7
RHEIN_CCGT,190,84.32,6171.0,55.3,23.75,57.88,2.7
RHEIN_CCGT,200,84.0,6147.0,55.5,23.65,57.65,2.7
RHEIN_CCGT,210,83.69,6123.0,55.7,23.56,57.43,2.7
RHEIN_CCGT,220,83.4,6101.0,55.9,23.48,57.22,2.7
RHEIN_CCGT,230,83.12,6080.0,56.1,23.4,57.02,2.7
RHEIN_CCGT,240,82.86,6060.0,56.3,23.32,56.84,2.7
RHEIN_CCGT,250,82.61,6042.0,56.5,23.25,56.66,2.7
RHEIN_CCGT,260,82.38,6024.0,56.6,23.18,56.5,2.7
RHEIN_CCGT,270,82.16,6008.0,56.8,23.12,56.34,2.7
RHEIN_CCGT,280,81.96,5992.0,56.9,23.06,56.2,2.7
RHEIN_CCGT,290,81.77,5978.0,57.1,23.0,56.06,2.7
RHEIN_CCGT,300,81.59,5965.0,57.2,22.95,55.94,2.7
RHEIN_CCGT,310,81.43,5952.0,57.3,22.91,55.82,2.7
RHEIN_CCGT,320,81.28,5941.0,57.4,22.86,55.72,2.7
RHEIN_CCGT,330,81.15,5931.0,57.5,22.82,55.62,2.7
RHEIN_CCGT,340,81.03,5922.0,57.6,22.79,55.54,2.7
RHEIN_CCGT,350,80.92,5913.0,57.7,22.76,55.46,2.7
RHEIN_CCGT,360,80.82,5906.0,57.8,22.73,55.39,2.7
RHEIN_CCGT,370,80.74,5900.0,57.8,22.7,55.33,2.7
RHEIN_CCGT,380,80.67,5895.0,57.9,22.68,55.28,2.7
RHEIN_CCGT,390,80.61,5890.0,57.9,22.67,55.24,2.7
RHEIN_CCGT,400,80.57,5887.0,58.0,22.65,55.21,2.7
RHEIN_CCGT,410,80.54,5885.0,58.0,22.65,55.19,2.7
RHEIN_CCGT,420,80.52,5883.0,58.0,22.64,55.18,2.7
RHEIN_CCGT,430,80.51,5883.0,58.0,22.64,55.17,2.7
ISAR_OCGT,90,132.25,9681.0,35.2,37.25,90.79,4.2
ISAR_OCGT,100,130.85,9575.0,35.6,36.85,89.8,4.2
ISAR_OCGT,110,129.64,9484.0,36.0,36.49,88.94,4.2
ISAR_OCGT,120,128.61,9406.0,36.3,36.2,88.21,4.2
ISAR_OCGT,130,127.75,9341.0,36.5,35.95,87.61,4.2
ISAR_OCGT,140,127.06,9289.0,36.7,35.74,87.11,4.2
ISAR_OCGT,150,126.52,9248.0,36.9,35.59,86.74,4.2
ISAR_OCGT,160,126.15,9220.0,37.0,35.48,86.47,4.2
ISAR_OCGT,170,125.92,9202.0,37.1,35.41,86.31,4.2
ISAR_OCGT,180,125.84,9197.0,37.1,35.39,86.25,4.2
